gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
931018374	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:99803	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Parque Nacional Natural Los Katíos. Sautata. El Tendal. entre El Tendalito y La Tigra	Chocó	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	7.84267	-77.15709	694.0		100.0	0.0			1995-03-24	24	3	1995	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	99803	10987	Cogollo A.	1997-06-01T00:00:00	CC0_1_0		Rentería E.;Curso Fitogeografía.			2025-02-06T17:43:47.696Z		INSTITUTION_MATCH_FUZZY
931016444	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:92217	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx magnifica		SPECIES	Dipteryx magnifica (Ducke) Ducke	Dipteryx magnifica	(Ducke) Ducke	CO	Región de Araracuara. quebrada El Engaño. km 2 - 10 abajo de la desembocadura	Amazonas	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	-0.818186	-71.846879	4930.0		175.0	25.0			1991-11-21	21	11	1991	2947149	2947149	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	92217	532	Restrepo D.	1991-01-01T00:00:00	CC0_1_0		Restrepo D.;Matapí A.			2025-02-06T17:43:54.289Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
931014667	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:85351	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx magnifica		SPECIES	Dipteryx magnifica (Ducke) Ducke	Dipteryx magnifica	(Ducke) Ducke	CO	Región de Araracuara. quebrada El Engaño. km 2 - 10 abajo de la desembocadura	Amazonas	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	-0.818186	-71.846879	4930.0		175.0	25.0			1991-11-21	21	11	1991	2947149	2947149	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	85351	532	Restrepo D.	1991-01-01T00:00:00	CC0_1_0		Restrepo D.;Matapí A.			2025-02-06T17:43:47.558Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
931014173	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:83557	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Km 23 - 27 NW de Chigorodó en la vía al río León. bosques a orillas del río León	Antioquia	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	7.616667	-76.7	5642.0		50.0	0.0			1990-12-17	17	12	1990	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	83557	9708	Barneby R.	1993-01-01T00:00:00	CC0_1_0		Callejas R.;Churchill S.;Arbeláez M.;Maza V.			2025-02-06T17:43:45.353Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
931008030	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:54569	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Corregimiento Pavarandó Grande. carretera Mutatá - Pavarandó Grande. km 9 - 10. finca El Darién	Antioquia	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	7.233333	-76.45	3165.0						1979-06-22	22	6	1979	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	54569	1273	Idárraga A.	2004-03-01T00:00:00	CC0_1_0		Fonnegra R.;Giraldo F.;Pérez V.			2025-02-06T17:43:44.220Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
931000890	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:186407	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Corregimiento Caribia. Reserva Natural Regional La Pradera	Antioquia	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	8.507222	-76.6575	2644.0		68.0	0.0			2009			2009	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	186407	1051	Roldán F.	2010-03-01T00:00:00	CC0_1_0		Londoño L.;Correa S.;Correa E.;Guerrero M.;Verona R.			2025-02-06T17:43:49.194Z		COORDINATE_ROUNDED;RECORDED_DATE_MISMATCH;INSTITUTION_MATCH_FUZZY
930999496	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:181229	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx			GENUS	Dipteryx Schreb.	Dipteryx	Benth.	CO	Vereda Providencia. sector Usurá	Antioquia	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	7.323658	-75.025608	3346.0		628.0	0.0			2010-11-09	9	11	2010	2947121		PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	181229	441	Idárraga A.	2011-01-01T00:00:00	CC0_1_0		Taborda A.;Londoño L.			2025-02-06T17:43:45.632Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
930999233	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:180401	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Vereda El Coco	Antioquia	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	7.698136	-76.629394	821.0		106.0	0.0			2011-12-10	10	12	2011	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	180401	49	David H.	2012-01-01T00:00:00	CC0_1_0		Rivera A.;Granada J.			2025-02-06T17:43:53.006Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
930996890	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:172367	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Vereda La Selva. finca La Holanda	Chocó	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	4.91206	-76.167772	397.0		1100.0	0.0			1998-03-01	1	3	1998	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	172367	1992	Roldán F.	2010-01-01T00:00:00	CC0_1_0		López N.;Palacios L.;Castaño A.			2025-02-06T17:43:48.862Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
930995163	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:165749	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Bahía de Sapzurro. camino de Sapzurro a la reserva Natural Agua Viva	Chocó	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	8.660833	-77.365278	1475.0						2005-10-04	4	10	2005	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	165749	415	Ariza W;Hoyos S.	2006-01-01T00:00:00	CC0_1_0		Hoyos S.;Upegui A.;Noreña E.;Loaiza I.			2025-02-06T17:43:52.216Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
930995136	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:165661	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Bahía de Sapzurro. camino de Sapzurro a la reserva Natural Agua Viva	Chocó	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	8.660833	-77.365278	1475.0						2005-10-04	4	10	2005	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	165661	415	Ariza W;Hoyos S.	2006-01-01T00:00:00	CC0_1_0		Hoyos S.;Upegui A.;Noreña E.;Loaiza I.			2025-02-06T17:43:52.373Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
930994137	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:161704	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Bahía de Sapzurro. camino de Sapzurro a la reserva Natural Agua Viva	Chocó	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	8.660833	-77.365278	1475.0		0.0	0.0			2005-10-04	4	10	2005	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	161704	415	Ariza W;Hoyos S.	2006-01-01T00:00:00	CC0_1_0		Hoyos S.;Upegui A.;Noreña E.;Loaiza I.			2025-02-06T17:43:46.349Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
930993799	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:1602	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Vereda Buenos Aires	Antioquia	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	7.26941	-75.2065	2572.0		650.0	250.0			1973-05-24	24	5	1973	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	1602	1602	Idárraga A.	2004-03-01T00:00:00	CC0_1_0		Soejarto D.;Zarucchi J.;Swain T.;Bagley J.			2025-02-06T17:43:44.260Z		INSTITUTION_MATCH_FUZZY
930992306	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:152673	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Barrio El Poblado. carrera 43A. zona verde del intercambio vial. Avenida El Poblado - Quebrada La Aguacatala	Antioquia	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	6.1925	-75.5725	2660.0		1530.0	0.0			2006-04-25	25	4	2006	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	152673	5852	Rodríguez W.	2006-04-30T00:00:00	CC0_1_0		Rodríguez W.;Arango A.			2025-02-06T17:43:43.888Z		INSTITUTION_MATCH_FUZZY
930991231	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:148235	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx	Dipteryx oleifera		SPECIES	Dipteryx oleifera Benth.	Dipteryx oleifera	Benth.	CO	Corregimiento Chugandí. vereda La Goleta	Chocó	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	8.409167	-77.198363	780.0		40.0	40.0			2004-01-05	5	1	2004	2947126	2947126	PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	148235	2964	Idárraga A;Cardona F.	2004-01-01T00:00:00	CC0_1_0		Idárraga A.;Cardona F.			2025-02-06T17:43:51.426Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
930986666	23243164-c132-444d-a3a4-34662abb8305	UdeA:HUA:126277	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx			GENUS	Dipteryx Schreb.	Dipteryx	Schreb.	CO	Región de Araracuara. Villa Azul. Resguardo Indígena Muinane	Amazonas	PRESENT	1	cccff716-2694-4209-9f9e-2f7a484465a0	-0.533333	-72.1	8206.0		285.0	15.0			1992-11-04	4	11	1992	2947121		PRESERVED_SPECIMEN	Universidad de Antioquia (UdeA)	HUA	126277	1195	Posada A.	1993-01-01T00:00:00	CC0_1_0		Duque A.;Fernández M.;Gómez G.			2025-02-06T17:43:52.141Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY
