gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
911921901	9661bc40-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Squamata		Viperidae	Bothriechis	Bothriechis schlegelii		SPECIES	Bothriechis schlegelii (Berthold, 1846)	Bothriechis schlegelii (Berthold 1846)		CR	Fortuna		PRESENT		c76cf030-2a95-11da-9cc1-b8a03c50a862	10.503133	-84.689033							2011-02-12	12	2	2011	2444681	2444681	PRESERVED_SPECIMEN	SMF	Collection Herpetology	93763				CC_BY_4_0					2025-03-05T20:19:26.251Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
894770240	ad0d4b56-c620-45a5-9152-7a0da3bd48e8	urn:catalog:OMNH:Reptiles:36215	Animalia	Chordata	Squamata		Viperidae	Bothriechis	Bothriechis schlegelii		SPECIES	Bothriechis schlegelii (Berthold, 1846)	Bothriechis schlegelii		NI	By Isla de Diamante on Rio San Juan	Rio San Juan	PRESENT		609765e0-4ce8-11db-b80e-b8a03c50a862	10.933333	-84.3							1993-04-05	5	4	1993	2444681	2444681	PRESERVED_SPECIMEN	OMNH	Reptiles	36215.0				CC0_1_0					2025-02-01T00:13:15.180Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
786457126	76dd8f0d-2daa-4a69-9fcd-55e04230334a	urn:catalog:CM:Herps:130359	Animalia	Chordata	Squamata		Viperidae	Bothriechis	Bothriechis schlegelii		SPECIES	Bothriechis schlegelii (Berthold, 1846)	BOTHRIECHIS SCHLEGELII		CR	BRIBRI	Limón	PRESENT	1	c1da06f0-580e-11dc-8a9e-b8a03c50a862	9.63	-82.83	3795.0						1988-04		4	1988	2444681	2444681	PRESERVED_SPECIMEN	CM	Herps	130359				CC0_1_0		NATIVES		native	2025-02-06T20:05:43.373Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
786457123	76dd8f0d-2daa-4a69-9fcd-55e04230334a	urn:catalog:CM:Herps:130358	Animalia	Chordata	Squamata		Viperidae	Bothriechis	Bothriechis schlegelii		SPECIES	Bothriechis schlegelii (Berthold, 1846)	BOTHRIECHIS SCHLEGELII		CR	BRIBRI	Limón	PRESENT	1	c1da06f0-580e-11dc-8a9e-b8a03c50a862	9.63	-82.83	3795.0						1988-04		4	1988	2444681	2444681	PRESERVED_SPECIMEN	CM	Herps	130358				CC0_1_0		NATIVES		native	2025-02-06T20:05:43.376Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
786449863	76dd8f0d-2daa-4a69-9fcd-55e04230334a	urn:catalog:CM:Herps:118936	Animalia	Chordata	Squamata		Viperidae	Bothriechis	Bothriechis schlegelii		SPECIES	Bothriechis schlegelii (Berthold, 1846)	BOTHRIECHIS SCHLEGELII		CR	NEAR BRIBRI (ESE CORNER COUNTRY)	Limón	PRESENT	1	c1da06f0-580e-11dc-8a9e-b8a03c50a862	9.63	-82.83	3795.0										2444681	2444681	PRESERVED_SPECIMEN	CM	Herps	118936				CC0_1_0		FREED, PAUL S			2025-02-06T20:05:41.287Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
786449860	76dd8f0d-2daa-4a69-9fcd-55e04230334a	urn:catalog:CM:Herps:118935	Animalia	Chordata	Squamata		Viperidae	Bothriechis	Bothriechis schlegelii		SPECIES	Bothriechis schlegelii (Berthold, 1846)	BOTHRIECHIS SCHLEGELII		CR	NEAR BRIBRI (ESE CORNER COUNTRY)	Limón	PRESENT	1	c1da06f0-580e-11dc-8a9e-b8a03c50a862	9.63	-82.83	3795.0										2444681	2444681	PRESERVED_SPECIMEN	CM	Herps	118935				CC0_1_0		FREED, PAUL S			2025-02-06T20:05:41.299Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
786449858	76dd8f0d-2daa-4a69-9fcd-55e04230334a	urn:catalog:CM:Herps:118934	Animalia	Chordata	Squamata		Viperidae	Bothriechis	Bothriechis schlegelii		SPECIES	Bothriechis schlegelii (Berthold, 1846)	BOTHRIECHIS SCHLEGELII		CR	NEAR BRIBRI (ESE CORNER COUNTRY)	Limón	PRESENT	1	c1da06f0-580e-11dc-8a9e-b8a03c50a862	9.63	-82.83	3795.0										2444681	2444681	PRESERVED_SPECIMEN	CM	Herps	118934				CC0_1_0		FREED, PAUL S			2025-02-06T20:05:41.285Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
786449733	76dd8f0d-2daa-4a69-9fcd-55e04230334a	urn:catalog:CM:Herps:118933	Animalia	Chordata	Squamata		Viperidae	Bothriechis	Bothriechis schlegelii		SPECIES	Bothriechis schlegelii (Berthold, 1846)	BOTHRIECHIS SCHLEGELII		CR	NEAR BRIBRI (ESE CORNER COUNTRY)	Limón	PRESENT	1	c1da06f0-580e-11dc-8a9e-b8a03c50a862	9.63	-82.83	3795.0										2444681	2444681	PRESERVED_SPECIMEN	CM	Herps	118933				CC0_1_0		FREED, PAUL S			2025-02-06T20:05:41.285Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
786449731	76dd8f0d-2daa-4a69-9fcd-55e04230334a	urn:catalog:CM:Herps:118932	Animalia	Chordata	Squamata		Viperidae	Bothriechis	Bothriechis schlegelii		SPECIES	Bothriechis schlegelii (Berthold, 1846)	BOTHRIECHIS SCHLEGELII		CR	NEAR BRIBRI (ESE CORNER COUNTRY)	Limón	PRESENT	1	c1da06f0-580e-11dc-8a9e-b8a03c50a862	9.63	-82.83	3795.0						1988			1988	2444681	2444681	PRESERVED_SPECIMEN	CM	Herps	118932				CC0_1_0		FREED, PAUL S			2025-02-06T20:05:41.347Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
786449724	76dd8f0d-2daa-4a69-9fcd-55e04230334a	urn:catalog:CM:Herps:118930	Animalia	Chordata	Squamata		Viperidae	Bothriechis	Bothriechis schlegelii		SPECIES	Bothriechis schlegelii (Berthold, 1846)	BOTHRIECHIS SCHLEGELII		CR	NEAR BRIBRI (ESE CORNER COUNTRY)	Limón	PRESENT	1	c1da06f0-580e-11dc-8a9e-b8a03c50a862	9.63	-82.83	3795.0						1988-04		4	1988	2444681	2444681	PRESERVED_SPECIMEN	CM	Herps	118930				CC0_1_0		FREED, PAUL S		native	2025-02-06T20:05:41.298Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
